1 124507682.790000
2 79618122.747900
3 60325477.537479
4 53807862.375375
5 57307860.153754
6 47871142.551538
7 48425169.095515
8 41553909.750955
9 40196996.327510
10 40159538.373275
11 40316826.703733
12 39783674.767037
13 39296859.607670
14 38992709.736077
15 38321632.177361
16 38710341.931774
17 40966337.389318
18 40123791.223893
19 39882899.422239
20 39862658.384222
21 39495183.633842
22 40297057.516338
23 40572214.365163
24 40459052.803652
25 40127460.668037
26 39137643.186680
27 38653401.051867
28 38804512.820519
29 38090994.198205
30 38212610.861982
31 37493440.618620
32 44269583.846186
